ID P.F,NOMBRE FANTASIA,PROV,DEP,SEGMENTO,SUBSEGMENTACION,STOCK ROLLO,STOCK RESMA,STOCK SUBE,STOCK PRISMA
6149591,PAGO LOS NOGALES,TUCUMAN,1,4.C,4,"2,536","0,000","0,000","7,668"
11949541,PAGO MARTA,CAPITAL FEDERAL,1,N,2,"0,000","0,000","0,000","0,000"
12849934,PAGO MITRE,TUCUMAN,1,1.VIP,2,"5,137","0,000","0,000","7,541"
12949777,PAGO MOVIL,CAPITAL FEDERAL,1,5.D,6,"-0,074","-0,156","0,000","-0,002"
12949776,PAGO MOVIL III,CAPITAL FEDERAL,1,5.D,6,"-0,033","-0,034","0,000","0,000"
12949779,PAGO MOVIL IV,CAPITAL FEDERAL,1,5.D,6,"-0,030","-0,058","0,000","-0,002"
12949780,PAGO MOVIL V,CAPITAL FEDERAL,1,5.D,6,"-0,191","-0,076","0,000","-0,061"
10349414,PAGO ORIANA,TUCUMAN,1,2.A,3,"3,779","0,000","0,000","2,742"
12949672,PAGO PLATANOS AGCA,BUENOS AIRES,1,N,2,"1,000","0,000","0,000","0,000"
12949639,PAGO POSTOLOV,BUENOS AIRES,1,N,2,"-0,108","0,000","0,000","0,000"
12949624,PAGO SALVADOR,BUENOS AIRES,1,N,2,"2,335","0,000","0,000","3,754"
12949670,PAGO SUR MER,BUENOS AIRES,1,N,2,"0,463","-0,206","0,000","0,710"
8749346,PAGO VALU,FORMOSA,1,4.C,4,"0,241","-0,036","0,000","1,960"
12449140,PAGO VIVES,CORDOBA,1,1.VIP,2,"5,443","0,753","0,000","4,910"
9749488,PAGO VIVES 2,CORDOBA,1,1.VIP,2,"2,781","1,000","0,000","2,725"
12449790,PAGOS  GADDINI,BUENOS AIRES,1,N,2,"4,500","2,844","0,000","0,000"
11649392,PAGOS  GAUCHITO,BUENOS AIRES,1,5.D,6,"11,309","0,000","0,000","15,135"
6149476,PAGOS 1RO DE MAYO,MENDOZA,1,2.A,3,"4,286","-0,328","0,000","3,887"
12849087,PAGOS 24,BUENOS AIRES,1,N,2,"0,000","0,000","0,000","0,000"
9749479,PAGOS 24/7,MENDOZA,1,N,2,"0,000","0,660","0,000","0,000"
6949949,PAGOS 25 DE MAYO,SAN LUIS,1,4.C,4,"4,712","-0,003","0,000","2,971"
11949768,PAGOS 3 DE FEBRERO,BUENOS AIRES,1,4.C,4,"0,355","1,370","0,000","1,000"
12749244,PAGOS 5 SALTOS,RIO NEGRO,1,N,2,"2,258","0,452","0,000","0,000"
9749790,PAGOS 824,BUENOS AIRES,1,4.C,4,"9,375","0,000","0,000","6,740"
12749061,PAGOS 9 DE JULIO,RIO NEGRO,1,1.VIP,2,"7,149","-1,356","0,000","4,522"
6149448,PAGOS ABERASTAIN,SAN JUAN,1,1.VIP,2,"2,614","2,338","0,000","4,000"
6149395,PAGOS AGAPE,SAN JUAN,1,1.VIP,2,"6,590","0,000","0,000","20,000"
